*ERROR* 	2016/11/08 - 14:34:18: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:19: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:20: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:22: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:22: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:22: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:24: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:25: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:25: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:27: Shop not found at line 404 in file classes/shop/Shop.php
*ERROR* 	2016/11/08 - 14:34:27: Shop not found at line 404 in file classes/shop/Shop.php
